ср сент. 15 2021,"5, fff, 5"
EMG,GSR(Om),HR
['2056'],['0']
['2435'],['0']
['2291'],['0']
['2014'],['0']
['1792'],['20460000.0']
['2039'],['0']
['2441'],['0']
['2284'],['0']
['1944'],['0']
['1901'],['0']
['2201'],['0']
['2489'],['0']
['2353'],['20460000.0']
['1600'],['0']
['2134'],['0']
['2040'],['0']
['2073'],['0']
['2052'],['0']
['2363'],['0']
['2402'],['0']
['1873'],['0']
['2442'],['20460000.0']
['2426'],['0']
['1862'],['0']
['2230'],['0']
['2528'],['0']
['2360'],['0']
['2020'],['0']
['1788'],['0']
['1872'],['0']
['2509'],['20460000.0']
['1990'],['0']
['1817'],['0']
['1712'],['0']
['2355'],['0']
['2547'],['0']
['2265'],['0']
['1958'],['0']
['1791'],['0']
['2065'],['0']
['2426'],['0']
['2562'],['0']
['2370'],['0']
['2082'],['20460000.0']
['1854'],['0']
['1752'],['0']
['2237'],['0']
['2290'],['0']
['1788'],['0']
['2515'],['0']
['1900'],['0']
['1767'],['0']
['2247'],['0']
['2665'],['0']
['2470'],['0']
['2187'],['0']
['1940'],['0']
['1792'],['0']
['2128'],['0']
['2556'],['0']
['2538'],['0']
['2276'],['0']
['2044'],['0']
['1799'],['0']
['2135'],['0']
['2639'],['0']
['2492'],['0']
['2228'],['0']
['1973'],['0']
['1776'],['0']
['2251'],['0']
['2570'],['0']
['2347'],['0']
['1997'],['20460000.0']
['1771'],['0']
['2483'],['0']
['2552'],['0']
['2232'],['0']
['2006'],['20460000.0']
['1857'],['0']
['1773'],['0']
['2118'],['0']
['2468'],['0']
['2570'],['0']
['2278'],['0']
['2042'],['0']
['1896'],['20460000.0']
['1781'],['0']
['2037'],['0']
['2319'],['0']
['2568'],['0']
['2600'],['0']
['2428'],['0']
['2205'],['0']
['2014'],['0']
['1863'],['0']
['1767'],['0']
['2157'],['0']
['2432'],['0']
['2690'],['0']
['2443'],['0']
['2097'],['0']
['1881'],['0']
['1765'],['0']
['2063'],['0']
['2331'],['0']
['2575'],['0']
['2594'],['0']
['2453'],['0']
['2277'],['0']
['2066'],['0']
['1935'],['0']
['1820'],['0']
['1913'],['0']
['2162'],['0']
['2396'],['0']
['2661'],['0']
['2497'],['0']
['2319'],['0']
['2093'],['0']
['1901'],['0']
['1809'],['0']
['1812'],['0']
['2089'],['0']
['2321'],['0']
['2524'],['0']
['2601'],['0']
['2427'],['0']
['2252'],['0']
['2047'],['0']
['1894'],['0']
['1809'],['0']
['1765'],['0']
['2082'],['0']
['2324'],['0']
['2568'],['0']
['2594'],['0']
['2408'],['0']
['2230'],['20460000.0']
['2048'],['0']
['1902'],['0']
['1808'],['0']
['1786'],['0']
['2158'],['0']
['2439'],['0']
['2667'],['0']
['2553'],['0']
['2421'],['20460000.0']
['2215'],['0']
['1996'],['0']
['1864'],['0']
['1773'],['0']
['2113'],['0']
['2371'],['0']
['2568'],['0']
['2626'],['0']
['2463'],['0']
['2181'],['0']
['1919'],['0']
['1799'],['0']
['1973'],['0']
['2186'],['0']
['2446'],['0']
['2635'],['0']
['2569'],['0']
['2450'],['0']
['2212'],['0']
['2000'],['0']
['1878'],['0']
['1802'],['0']
['1952'],['0']
['2174'],['0']
['2432'],['0']
['2628'],['0']
['2595'],['0']
['2479'],['0']
['2276'],['0']
['2029'],['0']
['1868'],['0']
['1789'],['0']
['2150'],['0']
['2451'],['20460000.0']
['2693'],['0']
['2520'],['0']
['2295'],['0']
['2118'],['0']
['1962'],['0']
['1864'],['0']
['1790'],['0']
['2077'],['0']
['2322'],['0']
['2516'],['0']
['2712'],['0']
['2557'],['0']
['2409'],['0']
['2237'],['0']
['2070'],['0']
['1934'],['0']
['1826'],['0']
['1787'],['0']
['2086'],['0']
['2304'],['0']
['2498'],['0']
['2707'],['0']
['2526'],['0']
['2366'],['0']
['2163'],['20460000.0']
['1963'],['0']
['1851'],['0']
['1780'],['0']
['1955'],['0']
['2143'],['0']
['2358'],['0']
['2537'],['0']
['2592'],['0']
['2458'],['0']
['2236'],['0']
['2080'],['0']
['1941'],['0']
['1820'],['0']
['1753'],['0']
['1896'],['0']
['2094'],['0']
['2298'],['0']
['2518'],['0']
['2541'],['0']
['2404'],['0']
['2207'],['0']
['2025'],['0']
['1882'],['0']
['1785'],['0']
['1704'],['0']
['1864'],['0']
['2063'],['0']
['2356'],['0']
['2572'],['0']
['2387'],['0']
['2223'],['0']
['2058'],['0']
['1905'],['0']
['1772'],['0']
['1683'],['0']
['1625'],['0']
['1992'],['0']
['2172'],['0']
['2377'],['0']
['2443'],['0']
['2279'],['0']
['2081'],['0']
['1851'],['0']
['1712'],['0']
['1604'],['0']
['1588'],['0']
['1881'],['0']
['2100'],['0']
['2280'],['0']
['2455'],['0']
['2296'],['0']
['2129'],['0']
['1938'],['0']
['1768'],['0']
['1635'],['0']
['1541'],['0']
['1482'],['0']
['1767'],['0']
['1963'],['0']
['2171'],['0']
['2347'],['0']
['2226'],['20460000.0']
['2088'],['0']
['1903'],['0']
['1703'],['0']
['1569'],['0']
['1483'],['0']
['1424'],['0']
['1659'],['0']
['1877'],['0']
['2117'],['0']
['2297'],['0']
['2152'],['0']
['2015'],['0']
['1827'],['0']
['1633'],['0']
['1518'],['0']
['1414'],['0']
['1355'],['20460000.0']
['1629'],['0']
['1832'],['0']
['2064'],['0']
['2215'],['0']
['2072'],['0']
['1900'],['0']
['1736'],['0']
['1569'],['0']
['1446'],['0']
['1362'],['0']
['1290'],['0']
['1556'],['0']
['1787'],['0']
['1983'],['0']
['2166'],['0']
['2074'],['0']
['1943'],['0']
['1780'],['0']
['1624'],['0']
['1472'],['0']
['1365'],['0']
['1289'],['20460000.0']
['1263'],['0']
['1611'],['0']
['1800'],['0']
['1989'],['0']
['2169'],['0']
['1984'],['0']
['1859'],['0']
['1697'],['0']
['1552'],['0']
['1420'],['0']
['1304'],['0']
['1238'],['0']
['1381'],['0']
['1596'],['0']
['1828'],['0']
['2012'],['0']
['2066'],['0']
['1945'],['0']
['1772'],['0']
['1415'],['0']
['1260'],['0']
['1511'],['0']
['2011'],['0']
['1910'],['0']
['1608'],['0']
['1291'],['0']
['1198'],['0']
['1600'],['20460000.0']
['1881'],['0']
['2090'],['0']
['1963'],['0']
['1824'],['0']
['1678'],['0']
['1525'],['20460000.0']
['1373'],['0']
['1267'],['0']
['1193'],['0']
['1455'],['0']
['1716'],['0']
['1929'],['0']
['2116'],['20460000.0']
['1940'],['0']
['1801'],['0']
['1654'],['20460000.0']
['1469'],['0']
['1324'],['0']
['1233'],['0']
['1196'],['0']
['1526'],['0']
['1729'],['0']
['1918'],['0']
['2043'],['20460000.0']
['1897'],['0']
['1748'],['0']
['1584'],['0']
['1409'],['0']
['1273'],['20460000.0']
['1196'],['0']
['1246'],['0']
['1546'],['0']
['1775'],['0']
['1961'],['0']
['1929'],['0']
['1832'],['0']
['1676'],['0']
['1532'],['0']
['1389'],['0']
['1275'],['0']
['1193'],['0']
['1150'],['0']
['1416'],['20460000.0']
['1656'],['0']
['1869'],['0']
