пт сент. 24 2021,"3, х х х, 0"
EMG,GSR(Om),HR
3235,0
0,20460000.0
0,0
3158,0
25,0
0,0
0,0
0,0
2860,0
3213,0
19,0
0,0
0,0
0,0
3180,20460000.0
1352,0
5,0
0,0
3,0
0,0
3201,0
703,0
2,0
0,0
0,0
1653,0
3225,0
437,0
3,4076000.0
0,0
0,0
2962,0
1756,0
3,0
0,0
0,0
2279,0
1379,0
6,0
0,0
0,0
3081,0
1758,0
9,0
0,0
0,0
2287,0
3224,0
219,0
0,10220000.0
1,0
0,0
3220,0
854,0
0,0
0,0
0,0
3100,0
2290,0
189,0
0,0
0,0
0,0
1096,0
3219,0
1189,0
6,0
1,0
0,20460000.0
1760,0
3214,0
1448,0
14,0
0,0
0,0
1,0
3106,0
2330,0
570,0
0,0
0,0
1,0
1793,0
3221,20460000.0
1282,0
6,0
0,0
0,0
2228,0
3231,0
958,0
6,20460000.0
0,0
0,0
1,0
3240,0
617,0
1,20460000.0
0,0
0,0
2381,0
3218,0
982,0
7,0
0,0
0,0
0,0
3217,0
1239,0
8,20460000.0
1,0
0,0
2034,0
3223,20460000.0
1031,0
4,0
0,0
0,0
3155,0
2225,0
315,0
0,0
0,20460000.0
0,0
2267,0
3210,0
1709,0
10,0
1,0
0,0
0,0
3078,0
3234,0
1300,0
7,0
0,0
0,0
0,0
3208,0
722,0
2,0
0,0
0,0
686,0
3203,0
1212,0
7,20460000.0
0,0
1,0
0,0
3220,0
1060,0
0,0
4,0
0,0
0,0
3197,0
1228,0
3,0
0,0
0,0
0,0
3134,0
1938,0
362,0
1,0
1,0
0,0
3100,20460000.0
1973,20460000.0
574,0
2,20460000.0
1,20460000.0
0,20460000.0
1999,0
3211,0
1249,0
9,0
3,0
0,0
0,0
3172,0
1961,0
474,0
3,0
0,0
0,0
2151,0
2952,0
1178,0
8,0
0,0
0,0
0,0
3135,0
2157,0
724,0
2,0
0,0
0,0
0,0
3217,0
1491,0
230,0
0,20460000.0
0,0
0,0
3113,0
2299,0
1027,0
7,0
0,20460000.0
0,20460000.0
962,0
4,0
0,0
0,0
2625,0
2249,0
967,0
3,0
0,0
0,0
3004,0
2416,0
1145,0
37,0
0,0
1,0
0,0
3204,0
1741,0
532,0
4,0
0,0
0,0
3028,0
2484,0
1358,0
216,0
0,0
0,0
2207,0
2685,0
1456,0
396,0
2,0
0,0
0,0
3177,0
1836,0
775,0
1,0
1,0
0,0
3075,20460000.0
2352,0
1074,0
4,0
0,0
0,0
3175,0
346,0
0,0
0,0
3191,0
1360,0
3,0
0,0
1,0
3180,0
1539,20460000.0
305,0
2,20460000.0
1,0
2890,0
2261,0
894,0
0,0
0,0
1330,20460000.0
9,0
0,0
0,0
3174,0
1598,0
7,0
0,0
0,0
2698,0
1330,0
193,0
2,0
0,0
0,20460000.0
3213,0
1509,0
278,0
1,0
0,0
2640,0
2619,0
1237,0
166,0
0,20460000.0
0,0
2701,0
2423,0
1205,0
4,0
0,0
0,20460000.0
3069,0
2129,0
859,0
4,0
3,0
0,0
2894,20460000.0
2350,0
1217,0
3,0
0,0
1,0
3093,0
2182,0
383,20460000.0
1,0
0,0
0,0
3201,0
1245,0
18,0
0,0
0,0
2531,0
2297,20460000.0
1140,0
5,0
0,0
0,0
3111,0
1929,0
582,0
2,0
0,0
0,0
3168,0
1703,0
367,0
0,0
0,0
2373,0
876,0
0,0
0,20460000.0
0,0
3076,0
2148,0
747,0
4,0
0,0
0,0
3108,0
2028,0
720,0
1,0
0,0
0,0
3155,0
1723,0
253,0
3,0
0,0
0,0
3183,0
707,0
0,20460000.0
3101,0
1634,0
27,0
5,0
0,0
3029,0
1971,0
503,0
3,0
0,0
0,0
2416,0
646,0
1,0
1,20460000.0
10,0
3183,0
1548,0
20,0
1,0
0,0
3052,0
1966,0
501,0
0,0
0,0
0,0
3194,0
911,0
0,0
0,0
