пт сент. 17 2021,"4, e e e, 7"
EMG,GSR(Om),HR
['1491'],['0']
['1415'],['0']
['1468'],['0']
['1454'],['0']
['1470'],['0']
['1523'],['0']
['1472'],['0']
['1456'],['0']
['1511'],['0']
['1403'],['0']
['1310'],['0']
['1323'],['0']
['1417'],['0']
['1500'],['20460000.0']
['1477'],['0']
['1490'],['0']
['1493'],['0']
['1082'],['0']
['1104'],['0']
['1344'],['0']
['1497'],['0']
['1538'],['0']
['1513'],['0']
['1500'],['20460000.0']
['1547'],['0']
['1575'],['0']
['1542'],['0']
['1395'],['0']
['1109'],['0']
['0'],['0']
['150'],['0']
['1095'],['0']
['1862'],['0']
['2237'],['0']
['2466'],['0']
['2182'],['0']
['1872'],['0']
['1980'],['0']
['2121'],['0']
['1984'],['0']
['1616'],['0']
['1223'],['0']
['1224'],['0']
['1296'],['0']
['1467'],['0']
['1610'],['0']
['1717'],['0']
['1802'],['0']
['1820'],['0']
['1773'],['0']
['1755'],['0']
['1262'],['0']
['1349'],['0']
['1613'],['20460000.0']
['1743'],['0']
['1689'],['0']
['1805'],['0']
['2017'],['0']
['1952'],['0']
['1818'],['0']
['1675'],['0']
['1581'],['0']
['1507'],['0']
['1428'],['0']
['1379'],['0']
['1384'],['0']
['778'],['0']
['646'],['0']
['1088'],['0']
['1407'],['0']
['1583'],['20460000.0']
['1681'],['0']
['1958'],['0']
['1973'],['0']
['1780'],['0']
['1589'],['0']
['1443'],['0']
['1423'],['20460000.0']
['1446'],['20460000.0']
['1460'],['0']
['1474'],['0']
['1433'],['0']
['1413'],['0']
['1448'],['0']
['1451'],['0']
['1419'],['0']
['1401'],['0']
