сб сент. 25 2021,"5, fff, 5"
EMG,GSR(Om),HR
3,0
3240,0
0,0
3181,0
1442,0
0,0
3241,0
0,0
3219,0
3252,0
1,0
3210,0
0,0
3247,0
4,0
0,0
3231,0
3213,0
0,0
3178,0
3245,0
0,0
3228,0
507,0
0,0
2836,0
3242,0
27,0
0,0
3186,0
3235,0
1,0
3127,0
3242,0
1020,0
3,0
0,20460000.0
3243,0
3246,0
3,0
0,0
3062,0
3231,0
3234,20460000.0
4,0
0,0
3070,0
3235,0
3248,0
0,0
0,0
3229,0
3242,0
6,0
0,0
3099,0
3241,0
3246,0
7,0
0,0
0,0
3150,0
3239,0
811,0
1,0
0,0
0,0
3230,20460000.0
3252,0
16,0
0,0
0,0
3141,0
3247,0
912,0
0,0
1,0
0,20460000.0
3225,0
3250,0
13,0
0,0
0,0
3177,0
3234,0
374,0
1,0
0,0
0,0
3243,0
7,0
0,0
0,0
3180,0
3237,0
51,0
0,0
0,0
0,0
3191,0
3232,0
3222,0
4,0
0,0
0,0
3233,0
305,0
1,0
0,0
3147,0
3241,0
48,20460000.0
2,0
0,0
3054,0
3228,0
3241,0
6,0
0,0
0,0
3144,0
3232,0
3241,0
12,0
0,20460000.0
1,0
0,0
3199,0
3236,0
631,0
0,0
0,0
0,0
3229,0
3241,0
0,0
0,0
3235,0
36,0
0,0
0,0
3175,0
0,0
0,0
3204,0
3238,0
45,0
0,0
0,0
2926,0
3236,0
3239,0
12,0
1,0
1,0
3031,0
25,0
0,0
0,0
0,0
3183,0
3234,0
1243,0
5,0
0,0
0,0
3154,0
3240,0
63,0
0,0
0,0
2674,0
3231,0
1015,0
2,0
0,0
0,0
3162,0
3235,0
53,0
2,0
3209,0
3240,0
44,0
1,0
0,0
0,0
3129,0
3234,0
3241,0
11,0
1,0
0,0
3174,0
3238,0
20,0
0,0
0,0
3219,0
3237,0
4,0
0,0
0,0
2065,0
3224,0
16,0
1,0
0,0
0,0
3075,0
3239,0
760,20460000.0
4,0
0,0
1,0
0,0
3197,0
3242,0
8,0
0,0
0,0
3152,0
45,0
0,0
0,0
0,0
3119,5100000.0
3232,0
11,0
0,0
0,0
0,0
0,0
3199,0
132,0
0,20460000.0
0,0
0,0
0,0
3168,0
1775,0
8,0
0,0
1,20460000.0
0,20460000.0
3188,20460000.0
865,0
1,0
1,0
1,0
3132,0
731,0
1,0
0,0
0,0
2866,0
3231,0
0,0
0,0
0,0
3225,0
530,0
1,0
0,0
0,0
3189,0
1953,0
12,0
0,0
0,0
0,0
3152,0
3230,0
11,0
0,0
0,0
0,0
3219,0
25,0
0,0
0,0
2290,0
2849,0
11,0
0,0
0,20460000.0
0,0
3149,0
3238,0
118,0
1,0
1,0
0,0
0,0
3202,0
2050,0
17,0
0,0
1,0
0,0
3096,0
3246,0
0,0
0,0
0,0
3226,0
663,0
0,0
0,0
3086,0
3225,0
1479,0
7,0
0,0
0,0
0,0
3081,0
3233,0
833,0
0,0
0,0
0,0
1739,0
3221,20460000.0
3239,0
33,0
1,0
0,0
0,0
3225,0
1549,0
10,0
1,0
1,0
2603,0
3238,20460000.0
11,0
0,0
0,0
2298,0
3236,0
471,0
0,0
1,0
1786,0
3204,0
3238,0
27,0
1,0
0,0
0,0
3084,0
3242,0
25,0
1,0
0,0
0,0
3235,0
20,0
0,0
0,0
0,0
3231,0
33,0
0,0
0,0
0,0
3077,0
3231,0
26,0
0,0
0,0
0,0
0,0
3204,0
1343,0
6,0
0,0
0,0
0,0
3123,0
3237,0
8,0
0,0
0,0
3144,0
1535,0
2,0
0,0
0,0
3190,0
1732,0
6,0
0,0
1,0
0,0
2869,0
3228,0
43,0
0,0
0,0
0,0
1,0
3198,0
966,0
0,0
0,0
0,0
3203,0
958,0
0,0
0,0
0,0
3121,0
2690,0
0,0
0,0
0,0
3187,0
1678,0
7,0
0,0
0,0
0,0
3056,0
3231,0
289,0
0,0
0,0
0,0
3231,0
11,0
0,0
0,0
2966,0
3237,0
294,0
1,0
1,0
3212,0
1284,0
8,0
0,0
0,0
0,0
3096,0
3228,0
25,0
0,0
0,0
0,0
3180,0
956,0
1,0
0,0
0,0
3117,0
1235,0
3,0
0,20460000.0
0,0
2535,0
3225,0
486,0
2,0
0,0
0,0
0,0
3191,0
1670,0
17,0
0,0
0,0
0,0
1883,0
3236,0
352,20460000.0
0,0
0,0
0,0
3199,0
8,0
0,0
1,0
0,0
3176,0
1527,0
9,0
0,0
3212,0
1146,0
8,0
0,0
0,0
1,0
3085,0
1696,0
11,0
0,0
0,0
0,0
3200,0
785,0
3,0
0,0
0,0
3102,0
1967,0
15,0
0,0
0,20460000.0
0,0
13,0
0,0
0,0
0,0
2734,0
2768,0
789,0
4,0
1,0
0,20460000.0
3190,0
812,0
0,0
0,0
0,0
3185,0
