пт сент. 3 2021,"6, frrr frrr frrrr, 20"
EMG,GSR(Om),HR
1460,112129.03225806452
1450,113856.2091503268
1451,107204.96894409938
1453,107204.96894409938
1456,112129.03225806452
1454,109620.25316455697
1450,103373.49397590362
1454,106419.75308641975
1452,112129.03225806452
1454,107204.96894409938
1446,102634.73053892216
1452,108805.03144654087
1458,101904.76190476191
1454,104121.21212121213
1453,99069.76744186046
1457,105644.1717791411
1452,102634.73053892216
1459,97028.57142857143
1454,101904.76190476191
1453,100470.58823529411
1453,96363.63636363637
1457,98381.5028901734
1457,100470.58823529411
1457,98381.5028901734
1456,94413.40782122905
1458,95706.21468926554
1454,99766.08187134503
1456,98381.5028901734
1459,95706.21468926554
1451,93777.77777777778
1452,95056.17977528089
1453,98381.5028901734
1456,93777.77777777778
1451,93149.17127071823
1459,96363.63636363637
1461,96363.63636363637
1455,91304.34782608696
1467,93777.77777777778
1460,96363.63636363637
1463,93149.17127071823
1466,90702.7027027027
1467,90702.7027027027
1468,93149.17127071823
1464,95056.17977528089
1467,93149.17127071823
1465,90107.52688172043
1467,91304.34782608696
1466,93777.77777777778
1470,96363.63636363637
1469,93777.77777777778
1458,90702.7027027027
1471,90702.7027027027
1466,94413.40782122905
1469,97701.14942528735
1471,95706.21468926554
1469,93777.77777777778
1464,91304.34782608696
1470,94413.40782122905
1473,98381.5028901734
1478,94413.40782122905
1473,91912.56830601093
1479,95056.17977528089
1480,99069.76744186046
1481,96363.63636363637
1479,92527.47252747252
1484,94413.40782122905
1482,99069.76744186046
1488,99069.76744186046
1480,93777.77777777778
1483,93777.77777777778
1484,95056.17977528089
1488,99766.08187134503
1487,98381.5028901734
1482,95056.17977528089
1486,93777.77777777778
1487,95056.17977528089
1488,99766.08187134503
1486,98381.5028901734
1487,96363.63636363637
1487,93777.77777777778
1496,99766.08187134503
1492,99766.08187134503
1491,96363.63636363637
1495,93777.77777777778
1497,93777.77777777778
1498,97028.57142857143
1497,100470.58823529411
1502,100470.58823529411
1501,97028.57142857143
1505,93149.17127071823
1500,94413.40782122905
1500,96363.63636363637
1502,100470.58823529411
1503,99766.08187134503
1504,95706.21468926554
1507,93149.17127071823
1502,97028.57142857143
1504,99766.08187134503
1507,99069.76744186046
1503,94413.40782122905
1507,93777.77777777778
1504,97701.14942528735
1503,100470.58823529411
1512,98381.5028901734
1507,93777.77777777778
1510,94413.40782122905
1507,100470.58823529411
1504,101183.43195266272
1507,97701.14942528735
1506,93777.77777777778
1515,94413.40782122905
1509,97701.14942528735
1507,100470.58823529411
1513,97701.14942528735
1513,93777.77777777778
1513,94413.40782122905
1520,98381.5028901734
1517,100470.58823529411
1520,98381.5028901734
1525,95706.21468926554
1519,93149.17127071823
1521,93149.17127071823
1522,95056.17977528089
1525,99069.76744186046
1528,99069.76744186046
1519,97701.14942528735
1526,95056.17977528089
1529,92527.47252747252
1528,94413.40782122905
1525,97028.57142857143
1529,99766.08187134503
1531,99069.76744186046
1527,95706.21468926554
1525,93149.17127071823
1531,97701.14942528735
1526,99069.76744186046
1528,93777.77777777778
1521,93777.77777777778
1528,97028.57142857143
1531,100470.58823529411
1529,97028.57142857143
1533,93149.17127071823
1529,93777.77777777778
1527,97028.57142857143
1527,99766.08187134503
1532,99069.76744186046
1527,96363.63636363637
1531,93149.17127071823
1530,93149.17127071823
1531,95706.21468926554
1532,99069.76744186046
1539,99766.08187134503
1536,96363.63636363637
1532,93149.17127071823
1535,93149.17127071823
1531,94413.40782122905
1536,99069.76744186046
1528,99069.76744186046
1532,95056.17977528089
1536,91912.56830601093
1533,94413.40782122905
1530,97028.57142857143
1527,98381.5028901734
1535,95706.21468926554
1533,92527.47252747252
1532,94413.40782122905
1529,98381.5028901734
1525,99069.76744186046
1531,96363.63636363637
1529,92527.47252747252
1526,93149.17127071823
1533,95706.21468926554
1531,98381.5028901734
1526,98381.5028901734
1529,91912.56830601093
1529,91912.56830601093
1527,93777.77777777778
1539,98381.5028901734
1529,98381.5028901734
1529,95706.21468926554
1530,92527.47252747252
1531,92527.47252747252
1534,93149.17127071823
1538,96363.63636363637
1525,97701.14942528735
1532,95056.17977528089
1528,91304.34782608696
1531,93777.77777777778
1526,97701.14942528735
1526,97701.14942528735
1523,93149.17127071823
1527,91304.34782608696
1520,95056.17977528089
1523,98381.5028901734
1527,97701.14942528735
1524,92527.47252747252
1526,91912.56830601093
1524,93149.17127071823
1522,97028.57142857143
1524,97701.14942528735
1531,96363.63636363637
1518,93777.77777777778
1528,91304.34782608696
1527,91912.56830601093
1526,95056.17977528089
1527,97701.14942528735
1525,97028.57142857143
1529,95056.17977528089
1528,91304.34782608696
1529,91304.34782608696
1523,93777.77777777778
1529,97701.14942528735
1517,95706.21468926554
1530,91304.34782608696
1524,94413.40782122905
1519,98381.5028901734
1517,94413.40782122905
1525,91304.34782608696
1517,91912.56830601093
1520,94413.40782122905
1523,97028.57142857143
1524,96363.63636363637
1520,93777.77777777778
1521,95706.21468926554
1519,97028.57142857143
1519,95056.17977528089
1519,91912.56830601093
1523,90107.52688172043
1520,91912.56830601093
1523,95706.21468926554
1520,96363.63636363637
1522,95056.17977528089
1517,91304.34782608696
1517,90702.7027027027
1516,94413.40782122905
1513,97028.57142857143
1517,94413.40782122905
1509,90107.52688172043
1509,91304.34782608696
1516,93149.17127071823
1511,95706.21468926554
1516,94413.40782122905
1514,89518.71657754011
1516,91304.34782608696
1511,95056.17977528089
1516,96363.63636363637
1520,93777.77777777778
1520,90702.7027027027
1515,90107.52688172043
1512,92527.47252747252
1515,95056.17977528089
1513,96363.63636363637
1516,95056.17977528089
1516,91304.34782608696
1512,90702.7027027027
1515,91912.56830601093
1519,95706.21468926554
1520,94413.40782122905
1519,90702.7027027027
1520,89518.71657754011
1515,91912.56830601093
1516,95706.21468926554
1518,94413.40782122905
1512,93149.17127071823
1514,90107.52688172043
1514,89518.71657754011
1511,93149.17127071823
1507,95056.17977528089
1508,92527.47252747252
1510,88359.78835978836
1516,91304.34782608696
1513,95706.21468926554
1507,92527.47252747252
1515,88936.17021276595
1515,90107.52688172043
1514,92527.47252747252
1511,95056.17977528089
1507,92527.47252747252
1511,90107.52688172043
1504,88936.17021276595
1508,90702.7027027027
1508,90107.52688172043
1512,87789.47368421052
1516,88359.78835978836
1511,91304.34782608696
1512,94413.40782122905
1511,93777.77777777778
1514,91304.34782608696
1510,88936.17021276595
1516,87789.47368421052
1510,90107.52688172043
1517,93149.17127071823
1512,93777.77777777778
1510,90107.52688172043
1507,88359.78835978836
1515,89518.71657754011
1512,92527.47252747252
1511,94413.40782122905
1513,91304.34782608696
1506,88359.78835978836
1507,87789.47368421052
1508,88936.17021276595
1508,91912.56830601093
1513,93777.77777777778
1513,91304.34782608696
1512,88936.17021276595
1508,87225.13089005236
1504,88359.78835978836
1511,90702.7027027027
1512,93149.17127071823
1513,91304.34782608696
1508,87789.47368421052
1507,87789.47368421052
1507,90107.52688172043
1514,93149.17127071823
1516,90702.7027027027
1509,87225.13089005236
1506,87225.13089005236
1507,90702.7027027027
1504,93149.17127071823
1509,91304.34782608696
1507,88359.78835978836
1505,86113.9896373057
1506,88359.78835978836
1509,91304.34782608696
1510,92527.47252747252
1505,90702.7027027027
1508,87789.47368421052
1504,86113.9896373057
1505,87225.13089005236
1495,90107.52688172043
1507,91912.56830601093
1505,90702.7027027027
1499,87225.13089005236
1504,86666.66666666667
1505,87789.47368421052
1508,90702.7027027027
1507,92527.47252747252
1503,90702.7027027027
1500,87225.13089005236
1507,86113.9896373057
1500,87789.47368421052
1501,91912.56830601093
1503,90107.52688172043
1508,87789.47368421052
1502,85567.01030927835
1496,87789.47368421052
1503,91912.56830601093
1501,91304.34782608696
1496,85025.64102564103
1503,87789.47368421052
1504,91304.34782608696
1504,90107.52688172043
1496,88359.78835978836
1499,86666.66666666667
1502,85567.01030927835
1502,86666.66666666667
1500,90107.52688172043
1502,91304.34782608696
1499,89518.71657754011
1503,88359.78835978836
1505,85567.01030927835
1503,86113.9896373057
1503,88359.78835978836
1508,90702.7027027027
1506,91304.34782608696
1507,87789.47368421052
1502,85567.01030927835
1502,86113.9896373057
1501,88936.17021276595
1504,90702.7027027027
1506,88359.78835978836
1502,85025.64102564103
1501,86113.9896373057
1500,88359.78835978836
1502,90702.7027027027
1506,88359.78835978836
1505,86113.9896373057
1504,85025.64102564103
1506,86113.9896373057
1501,88359.78835978836
1503,90702.7027027027
1498,88936.17021276595
1504,85025.64102564103
1503,84489.79591836735
1505,87225.13089005236
1503,88936.17021276595
1502,89518.71657754011
1507,88936.17021276595
1503,86113.9896373057
1501,84489.79591836735
1500,86113.9896373057
1499,89518.71657754011
1498,89518.71657754011
1494,87225.13089005236
1497,84489.79591836735
1491,85025.64102564103
1496,87225.13089005236
1491,90107.52688172043
1487,87225.13089005236
1491,84489.79591836735
1490,84489.79591836735
1487,86666.66666666667
1485,88359.78835978836
1486,87225.13089005236
1490,83959.39086294416
1487,83959.39086294416
1484,86113.9896373057
1482,89518.71657754011
1487,88359.78835978836
1487,87225.13089005236
1489,83959.39086294416
1485,84489.79591836735
1484,85567.01030927835
1483,88359.78835978836
1485,89518.71657754011
1486,87789.47368421052
1487,83959.39086294416
1484,83434.34343434343
1489,87225.13089005236
1487,89518.71657754011
1479,86666.66666666667
1488,83434.34343434343
1483,85567.01030927835
1482,88359.78835978836
1488,87789.47368421052
1484,85025.64102564103
1488,82914.57286432161
1480,83959.39086294416
1480,86113.9896373057
1484,89518.71657754011
1482,87789.47368421052
1478,85567.01030927835
1481,83434.34343434343
1483,83959.39086294416
1477,85567.01030927835
1484,87789.47368421052
1480,88359.78835978836
1483,86666.66666666667
1484,83959.39086294416
1484,83434.34343434343
1481,84489.79591836735
1484,87225.13089005236
1484,87789.47368421052
1484,87225.13089005236
1477,83959.39086294416
1484,82914.57286432161
1480,85567.01030927835
1484,88359.78835978836
1478,86666.66666666667
1480,83959.39086294416
1477,82914.57286432161
1477,83959.39086294416
1479,87789.47368421052
1474,87789.47368421052
1476,85025.64102564103
1481,82400.0
1480,83959.39086294416
1479,87225.13089005236
1476,87225.13089005236
1476,85567.01030927835
1482,82914.57286432161
1478,82400.0
1481,83959.39086294416
1478,85567.01030927835
1475,87789.47368421052
1476,86113.9896373057
1478,83959.39086294416
1483,81890.5472636816
1486,83959.39086294416
1481,85025.64102564103
1481,87789.47368421052
1481,86666.66666666667
1482,84489.79591836735
1479,82400.0
1486,82400.0
1480,85025.64102564103
1482,87789.47368421052
1478,85567.01030927835
1471,83434.34343434343
1481,82400.0
1483,85025.64102564103
1480,88936.17021276595
1482,85025.64102564103
1485,81890.5472636816
1483,82914.57286432161
1475,86113.9896373057
1475,82400.0
1478,82400.0
1480,83959.39086294416
1478,86666.66666666667
1474,87789.47368421052
1472,85567.01030927835
1472,83434.34343434343
1469,81386.13861386139
1477,83434.34343434343
1474,85567.01030927835
1476,86666.66666666667
1476,86666.66666666667
1467,83959.39086294416
1474,81386.13861386139
1476,83434.34343434343
1470,87225.13089005236
1471,86666.66666666667
1474,83434.34343434343
1479,81386.13861386139
1477,84489.79591836735
1476,87225.13089005236
1478,86666.66666666667
1469,83959.39086294416
1476,81890.5472636816
1472,86113.9896373057
1476,87225.13089005236
1478,85567.01030927835
1474,82914.57286432161
1480,81890.5472636816
1476,83434.34343434343
1472,86113.9896373057
1479,86666.66666666667
1475,86113.9896373057
1475,83959.39086294416
1476,81386.13861386139
1472,82400.0
