сб сент. 4 2021,"1, дю дю дю, 13"
EMG,GSR(Om),HR
0,0
3158,0
0,0
0,0
739,20460000.0
0,20460000.0
0,0
3200,0
722,0
0,0
10,0
0,0
0,0
3228,0
220,0
0,0
3,0
2283,0
3207,0
16,0
0,0
0,0
3209,0
1307,0
0,0
0,0
3200,10220000.0
12,0
0,0
1,0
3226,0
3181,0
1864,0
13,0
3,0
0,0
3214,0
609,0
0,0
0,0
3089,0
708,0
0,0
1,0
1,0
2201,0
3223,0
839,0
0,0
1,0
0,0
3205,0
507,0
0,0
0,0
1629,0
1860,0
3,0
0,0
0,0
1671,0
1,0
1,0
0,0
3229,0
17,0
0,0
0,0
3189,0
1377,0
5,20460000.0
0,0
0,0
3107,0
1062,0
3,0
0,0
0,0
2211,0
3228,0
771,0
4,0
1,0
0,0
0,0
3214,0
1326,0
8,0
0,0
0,0
1132,0
5,0
0,0
0,0
0,0
3169,0
2129,0
104,0
1,0
0,0
0,20460000.0
0,0
3214,0
638,0
3,0
3,0
0,0
3228,0
59,0
0,0
0,0
3221,0
750,0
3,0
0,0
0,0
3232,0
576,0
0,0
0,0
0,0
3197,0
1111,0
3,0
3,0
0,0
2721,0
3212,0
109,0
0,0
0,0
0,0
3108,0
1915,0
20,0
0,0
1,20460000.0
0,0
2158,0
3228,0
473,0
3,0
0,0
1,0
2880,0
3234,0
738,0
3,20460000.0
0,0
1,0
3206,0
1425,0
4,0
0,0
0,0
0,0
3206,0
165,0
0,0
0,0
3145,0
2261,0
185,0
0,0
0,0
0,0
2016,0
3214,0
1099,0
6,0
0,0
0,0
0,3393333.3333333335
3165,0
2050,0
27,20460000.0
0,0
1,0
0,0
3040,0
3221,0
665,0
0,0
0,0
0,0
0,0
3203,0
1469,0
12,0
0,0
0,0
0,0
3206,0
1298,0
10,0
0,20460000.0
0,0
0,0
2368,0
12,0
0,0
0,0
3203,0
964,0
3,20460000.0
1,0
0,0
3193,0
538,0
0,20460000.0
0,0
0,0
3204,0
909,0
2,0
0,0
0,0
3035,0
2095,0
22,0
0,0
0,0
0,0
3179,0
1669,0
12,20460000.0
0,0
3216,0
757,0
0,0
1,0
0,0
809,0
3209,0
1117,20460000.0
5,0
0,0
0,0
3209,0
76,0
0,0
0,20460000.0
3081,0
1851,0
6,20460000.0
0,0
0,0
3160,0
1841,0
12,0
0,0
0,0
0,0
3221,0
12,0
0,0
2918,0
2209,0
16,0
0,0
0,0
0,0
3201,0
1121,0
6,0
0,0
0,0
684,0
1997,0
8,0
1,0
0,0
2375,0
3221,0
488,0
0,0
0,0
0,0
3196,0
1334,0
4,0
0,0
0,0
1756,0
3217,0
955,0
5,0
0,0
0,0
0,0
3204,0
1312,0
0,0
0,0
3147,0
2134,0
390,0
0,0
0,0
0,0
2058,0
3215,0
1193,0
2,0
0,0
0,0
3170,0
1626,0
2,0
0,0
0,0
3169,0
1052,20460000.0
0,0
0,0
0,20460000.0
3134,0
1918,0
142,0
1,0
0,0
0,0
3146,0
1870,0
131,0
0,0
0,20460000.0
0,0
0,0
3226,0
1105,0
11,0
0,0
1,0
1,0
3180,0
1638,0
3,0
0,0
0,0
2371,20460000.0
702,0
0,0
1,0
0,0
2509,0
751,0
0,0
0,0
0,0
3053,0
2060,0
607,0
0,20460000.0
1,0
0,0
3087,0
2066,0
730,0
0,0
0,0
0,0
2685,0
3215,0
1307,0
7,0
0,0
0,0
0,0
3173,20460000.0
2058,0
605,0
0,0
0,0
0,0
2532,0
369,0
3,0
0,0
1102,0
2367,0
12,0
0,0
0,0
1209,0
3199,0
1117,20460000.0
11,0
0,0
0,0
1364,0
3226,0
1422,0
12,0
1,0
0,0
0,0
3168,0
1675,0
0,0
1,0
3100,0
2114,0
895,0
4,0
1,0
0,0
0,0
3213,0
1311,0
6,0
0,0
0,0
3226,0
1132,20460000.0
4,0
1,0
0,0
3204,0
1444,0
0,0
0,0
0,0
3199,20460000.0
1508,0
262,0
