ср сент. 8 2021,"4, e e e, 7"
EMG,GSR(Om),HR
1494,0
1489,0
1480,0
1479,0
1477,0
1481,0
1477,0
1478,0
1481,0
1479,0
1476,0
1475,0
1485,0
1481,0
1483,0
1484,0
1483,0
1484,0
1485,0
1481,0
1484,0
1483,0
1479,0
1481,0
1484,0
1482,0
1483,0
1483,0
1482,0
1479,0
1485,0
1485,0
1487,0
1484,0
1487,0
1481,0
1487,0
1485,0
1485,0
1489,0
1485,20460000.0
1479,0
1489,0
1488,0
1489,0
1491,0
1486,0
1488,0
1489,0
1489,0
1490,0
1488,0
1485,0
1485,0
1483,0
1484,0
1487,0
1486,20460000.0
1490,0
1491,0
1489,0
1490,0
1482,0
1484,0
1487,0
1484,0
1486,0
1485,20460000.0
1487,20460000.0
1488,0
1484,0
1483,0
1483,0
1484,0
1487,0
1484,0
1483,0
1485,0
1482,20460000.0
1486,0
1487,0
1485,0
1485,0
1483,20460000.0
1493,20460000.0
1487,0
1490,0
1486,0
1485,0
1492,20460000.0
1485,0
1483,0
1487,0
1491,0
1487,0
1473,0
1487,0
1494,0
1493,0
1490,0
1493,0
1494,0
1491,0
1492,0
1494,0
1496,20460000.0
1488,0
1488,0
1490,0
1492,0
1487,0
1492,0
1488,0
1492,0
1491,0
1490,0
1492,0
1496,20460000.0
1492,0
1492,0
1495,0
1496,0
1495,20460000.0
1495,0
1497,0
1498,0
1495,0
1496,20460000.0
1494,0
1498,0
1500,0
1495,0
1492,0
1492,0
1494,0
1490,0
1491,0
1493,0
1492,0
1487,0
1485,0
1484,0
1483,0
1484,0
1481,0
1484,0
1479,20460000.0
1483,0
1479,0
1478,0
1475,0
1478,0
1475,0
1477,0
1472,0
1475,0
1475,0
1474,0
1480,0
1471,0
1474,0
1478,0
1476,0
1473,0
1473,0
1472,0
1467,0
1472,0
1469,20460000.0
1477,0
1478,0
1477,0
1478,0
1473,0
1476,0
1471,0
1472,0
1477,0
1473,0
1474,0
1476,0
1472,0
1479,0
1472,0
1476,0
1473,0
1478,0
1473,0
1475,0
1473,0
1475,20460000.0
1475,0
1477,0
1471,0
1469,0
1474,0
1472,0
1478,0
1472,0
1476,0
1473,0
1475,0
1477,0
1472,0
1469,20460000.0
1475,0
1473,0
1475,0
1474,0
1476,0
1472,0
1477,0
1479,0
1471,0
1476,0
1474,20460000.0
1476,0
1475,0
1477,0
1481,0
1478,0
1475,0
1477,0
1474,0
1474,0
1474,0
1475,0
1481,0
1475,0
1473,0
1470,0
1481,0
1472,0
1480,0
1474,0
1471,0
1475,0
1475,0
1473,0
1473,0
1471,0
1475,0
1473,0
1473,0
1478,0
1478,0
1471,0
1473,20460000.0
1479,0
1474,0
1479,0
1475,0
1475,0
1474,0
1479,0
1474,0
1471,0
1478,0
1478,0
1473,0
1476,0
1475,0
1475,0
1475,0
1478,0
1477,0
1474,0
1479,0
1472,0
1479,0
1480,0
1479,0
1476,0
1477,0
1474,0
1478,0
1477,0
1481,0
1479,0
1474,0
1481,0
1477,0
1476,0
1475,0
1482,0
1478,0
1474,0
1478,0
1479,0
1475,0
1478,20460000.0
1483,0
1476,0
1475,0
1476,0
1475,0
1480,20460000.0
1479,0
1475,0
1475,0
1476,0
1477,0
1472,0
1471,0
1479,0
1473,0
1477,20460000.0
1474,0
1484,0
1480,0
1478,0
1487,0
1479,0
1486,20460000.0
1488,0
1488,0
1492,0
1488,0
1491,0
1490,0
1490,0
1487,10220000.0
1490,0
1490,0
1489,0
1492,0
1491,0
1491,0
1490,0
1493,0
1494,0
1494,0
1494,0
1491,0
1492,0
1490,0
1494,0
1494,0
1492,0
1485,0
1492,0
1491,0
1497,0
1488,0
1490,0
1487,0
1489,0
1494,0
1490,0
1495,0
1495,0
1492,0
1493,0
1493,0
1499,0
1495,0
1499,0
1495,0
1493,10220000.0
1499,0
1496,20460000.0
1491,0
1501,0
1499,0
1495,0
1497,0
1499,0
1500,0
1499,0
1498,20460000.0
1501,0
1499,0
1498,0
1496,0
1496,0
1492,0
1494,0
1497,0
1495,0
1497,0
1496,0
1494,0
1495,0
1499,0
1499,0
1496,0
1495,0
1495,0
1495,0
1492,0
1495,0
1495,0
1491,0
1491,0
1494,0
1495,0
1494,0
1491,0
1489,0
1488,0
1497,0
1491,0
1491,0
1487,0
1488,0
1491,0
1492,0
1490,20460000.0
1497,0
1497,0
1493,0
1495,0
1493,0
1490,0
1491,0
1493,20460000.0
1488,0
1497,0
1488,0
1497,0
1495,0
1494,0
1492,0
1491,0
1492,0
1488,0
1490,0
1495,0
1492,20460000.0
1491,0
1491,0
1487,20460000.0
1497,0
1493,20460000.0
1492,0
1491,0
1494,0
1501,0
1495,0
1492,0
1495,0
1495,0
1494,0
1494,0
1496,0
1495,0
1488,0
1496,0
1491,0
1491,0
1493,0
1491,0
1492,0
1497,0
1498,0
1495,0
1494,0
1498,0
1495,0
1495,0
1491,0
1499,0
1493,0
1496,0
1495,0
1496,20460000.0
1495,0
1500,0
1496,0
1493,0
1496,0
1490,0
1502,0
1492,0
1496,0
1497,0
1495,0
1495,0
1494,0
1496,0
1491,0
1495,0
1497,0
1493,0
1497,0
1490,0
1497,0
1492,0
1490,0
1493,0
1495,0
1494,0
1493,0
1491,20460000.0
1495,0
1493,0
1493,0
1496,0
1494,0
1496,0
1494,0
1493,0
1494,0
1497,0
1496,0
1494,0
1497,0
1499,0
1493,0
1491,0
1490,0
1496,0
1500,0
1497,0
1502,0
1500,0
1499,20460000.0
1498,0
1502,0
1495,0
1499,0
1503,0
1502,0
1500,0
1500,20460000.0
1493,0
1499,0
1502,0
1495,0
1493,0
1499,0
1502,20460000.0
1497,0
1492,0
1498,20460000.0
1495,0
1499,0
1500,0
1496,0
1501,0
1499,0
1500,0
1505,0
1497,0
1499,0
1495,0
1495,0
1499,0
1498,0
1500,20460000.0
1496,0
1495,0
1502,0
1496,0
1501,0
1498,0
1496,0
1496,0
1494,0
1494,0
1496,20460000.0
1499,0
1499,0
1497,0
